# x  du/dy_at_top_wall
2.500000000000000052e-03 5.559116000000000213e+01
7.499999999999999722e-03 6.606592000000000553e+01
1.250000000000000069e-02 7.599590000000000600e+01
1.750000000000000167e-02 8.202812000000001547e+01
2.249999999999999917e-02 8.436812000000000467e+01
2.750000000000000014e-02 8.472299999999999898e+01
3.250000000000000111e-02 8.400700000000001921e+01
3.750000000000000555e-02 8.261000000000001364e+01
4.249999999999999611e-02 8.068780000000000996e+01
4.750000000000000056e-02 7.844260000000001298e+01
5.250000000000000500e-02 7.594560000000002731e+01
5.749999999999999556e-02 7.351320000000002608e+01
6.250000000000000000e-02 7.113400000000001455e+01
6.750000000000000444e-02 6.933400000000000318e+01
7.250000000000000888e-02 6.792520000000001801e+01
7.749999999999999944e-02 6.767579999999999529e+01
8.250000000000000389e-02 6.663480000000001269e+01
8.749999999999999445e-02 6.653760000000001185e+01
9.249999999999999889e-02 6.102939999999999543e+01
9.750000000000000333e-02 4.520660000000000167e+01
