# x  du/dy_at_top_wall
2.500000000000000052e-03 5.285760000000001213e+01
7.499999999999999722e-03 5.983788000000000551e+01
1.250000000000000069e-02 6.934906000000000859e+01
1.750000000000000167e-02 7.600614000000001624e+01
2.249999999999999917e-02 7.954758000000002482e+01
2.750000000000000014e-02 8.142388000000001114e+01
3.250000000000000111e-02 8.219182000000002120e+01
3.750000000000000555e-02 8.234020000000001005e+01
4.249999999999999611e-02 8.175380000000002667e+01
4.750000000000000056e-02 8.088780000000001280e+01
5.250000000000000500e-02 7.932700000000002660e+01
5.749999999999999556e-02 7.792860000000000298e+01
6.250000000000000000e-02 7.591280000000001849e+01
6.750000000000000444e-02 7.482260000000000844e+01
7.250000000000000888e-02 7.311240000000002226e+01
7.749999999999999944e-02 7.314420000000001210e+01
8.250000000000000389e-02 7.146600000000000819e+01
8.749999999999999445e-02 6.941600000000001103e+01
9.249999999999999889e-02 6.111460000000000292e+01
9.750000000000000333e-02 4.044220000000001392e+01
